MATCHNO,TEAMA,TEAMB,SCOREA,SCOREB,OVA,OVB,RESULT,WIN_BY,DATE,HREF
23,Tech Stars,LKG XI,107/7,83/6,12,12,Tech Stars,24 RUNS,01/02/2025,https://cricheroes.com/scorecard/15027075/iiser-premier-league-2025/tech-stars-vs-lkg-xi/live
22,Admin XI,H-1,132/4,69/10,12,11,Admin XI,63 RUNS,31/01/2025,https://cricheroes.com/scorecard/15014708/iiser-premier-league-2025/admin-xi-vs-h-1/live
21,Furious XI (2025),The Mambas,112/8,63/6,12,12,Furious XI (2025),49 RUNS,26/01/2025,https://cricheroes.com/scorecard/14914144/iiser-premier-league-2025/furious-xi(2025)-vs-the-mambas/live
20,Strong Wall,Zeher,120/6,66/10,12,11.3,Strong Wall,54 RUNS,26/01/2025,https://cricheroes.com/scorecard/14914110/iiser-premier-league-2025/strong-wall-vs-zeher/live
19,H-Cross,Tech Stars,72/5,73/1,12,6.1,Tech Stars,9 WICKETS,26/01/2025,https://cricheroes.com/scorecard/14914039/iiser-premier-league-2025/h-cross-vs-tech-stars/live
18,Admin XI,Clutchers,104/8,36/10,12,8.4,Admin XI,68 RUNS,26/01/2025,https://cricheroes.com/scorecard/14912529/iiser-premier-league-2025/admin-xi-vs-clutchers/live
17,Smashers 2025,Beta Smashers,138/3,64/8,12,12,Smashers 2025,74 RUNS,25/01/2025,https://cricheroes.com/scorecard/14888960/iiser-premier-league-2025/smashers-2025-vs-beta-smashers/live
16,Gardening Team,Baddies Daddies,125/5,59/6,12,12,Gardening Team,66 RUNS,25/01/2025,https://cricheroes.com/scorecard/14885611/iiser-premier-league-2025/gardening-team-vs-baddies-daddies/live
15,Alchemist,MightyChondria,111/6,72/9,12,12,Alchemist,39 RUNS,25/01/2025,https://cricheroes.com/scorecard/14878811/iiser-premier-league-2025/alchemist-vs-mightychondria/live
14,Resonance,LKG XI,127/8,61/10,12,10.1,Resonance,66 RUNS,25/01/2025,https://cricheroes.com/scorecard/14874497/iiser-premier-league-2025/resonance-vs-lkg-xi/live
13,Dadagiri,H-1,121/2,63/10,12,11.1,Dadagiri,58 RUNS,25/01/2025,https://cricheroes.com/scorecard/14869775/iiser-premier-league-2025/dadagiri-vs-h-1/live
12,EigenVictors,Bioharzard,81/5,82/3,12,10.4,Biohazard,7 WICKETS,24/01/2025,https://cricheroes.com/scorecard/14854872/iiser-premier-league-2025/eigenvictors-vs-biohazard/live
11,Zeher,Baddies Daddies,144/9,56/5,12,12,Zeher,88 RUNS,19/01/2025,https://cricheroes.com/scorecard/14772706/iiser-premier-league-2025/zeher-vs-baddies-daddies/live
10,Strong Wall,Smashers 2025,128/6,49/10,12,9.2,Strong Wall,79 RUNS,19/01/2025,https://cricheroes.com/scorecard/14768516/iiser-premier-league-2025/strong-wall-vs-smashers-2025/live
9,Faculty 11,The Mambas,173/1,115/1,12,12,Faculty 11,58 RUNS,19/01/2025,https://cricheroes.com/scorecard/14762666/iiser-premier-league-2025/faculty-11-vs-the-mambas/live
8,Tech Stars,MightyChondria,87/9,88/6,12,11.3,MightyChrondria,4 WICKETS,19/01/2025,https://cricheroes.com/scorecard/14756177/iiser-premier-league-2025/tech-stars-vs-mightychondria/live
7,Biohazard,Furious XI (2025),104/6,105/3,12,11.4,Furious XI (2025),7 WICKETS,19/01/2025,https://cricheroes.com/scorecard/14748097/iiser-premier-league-2025/biohazard-vs-furious-xi(2025)/live
6,Resonance,H-Cross,147/6,59/8,12,12,Resonance,88 RUNS,18/01/2025,https://cricheroes.com/scorecard/14735063/iiser-premier-league-2025/resonance-vs-h-cross/live
5,Clutchers,Dadagiri,58/8,61/1,12,6,Dadagiri,9 WICKETS,18/01/2025,https://cricheroes.com/scorecard/14732205/iiser-premier-league-2025/clutchers-vs-dadagiri/live
4,Gardening Team,Beta Smashers,169/1,65/9,12,12,Gardening Team,104 RUNS,18/01/2025,https://cricheroes.com/scorecard/14728164/iiser-premier-league-2025/gardening-team-vs-beta-smashers/live
3,EigenVictors,Maratha Warriors,82/7,83/2,12,7.1,Maratha Warriors,8 WICKETS,18/01/2025,https://cricheroes.com/scorecard/14723437/iiser-premier-league-2025/eigenvictors-vs-maratha-warriors/live
2,H-1,Saandpapers,73/4,74/2,12,6.1,Saandpapers,8 WICKETS,18/01/2025,https://cricheroes.com/scorecard/14720054/iiser-premier-league-2025/h-1-vs-saandpapers/live
1,Alchemist,LKG XI,157/3,69/9,12,12,Alchemist,88 RUNS,17/01/2025,https://cricheroes.com/scorecard/14710059/iiser-premier-league-2025/alchemist-vs-lkg-xi/live
